pair_id,label_A,label_B,text_A,text_B
3,"No, you don't need to have taken classes or earned a degree in your area.",I have done quite a bit of technical writing for healthcare information systems.

t,cos_to_A,cos_to_B,nn_rank,nn_cos,nn_text
0.0,0.6893038153648376,0.7839740514755249,1,0.842987060546875,A baseball player throws the ball.
0.0,0.6893038153648376,0.7839740514755249,2,0.842824399471283,A woman is eating a cupcake.
0.0,0.6893038153648376,0.7839740514755249,3,0.8427647948265076,A man is taking pictures of ant.
0.0,0.6893038153648376,0.7839740514755249,4,0.8427313566207886,A girl is eating a cupcake.
0.0,0.6893038153648376,0.7839740514755249,5,0.8426988124847412,A man rides off on a motorcycle.
0.1,0.6755622029304504,0.770766019821167,1,0.835655927658081,A person is slicing a shallot.
0.1,0.6755622029304504,0.770766019821167,2,0.8356407284736633,A person is dicing an onion.
0.1,0.6755622029304504,0.770766019821167,3,0.8355100750923157,A person is performing a card trick.
0.1,0.6755622029304504,0.770766019821167,4,0.8354805707931519,A woman is dicing a potato.
0.1,0.6755622029304504,0.770766019821167,5,0.835420548915863,A tied man is putting into water.
0.2,0.6805322170257568,0.7600582838058472,1,0.8217249512672424,The man is singing and playing the guitar.
0.2,0.6805322170257568,0.7600582838058472,2,0.8214744925498962,The man is talking on the phone.
0.2,0.6805322170257568,0.7600582838058472,3,0.821448564529419,A young boy sings and plays a guitar.
0.2,0.6805322170257568,0.7600582838058472,4,0.8214377164840698,The man sang on stage into the microphone.
0.2,0.6805322170257568,0.7600582838058472,5,0.821395218372345,A white cat stands on the floor.
0.3,0.7138718962669373,0.8111414909362793,1,0.8787643909454346,A man and a woman shake hands.
0.3,0.7138718962669373,0.8111414909362793,2,0.8787177801132202,A man and a woman are smiling.
0.3,0.7138718962669373,0.8111414909362793,3,0.8786519765853882,A cat and a boy play together.
0.3,0.7138718962669373,0.8111414909362793,4,0.878492534160614,A man in a library is talking.
0.3,0.7138718962669373,0.8111414909362793,5,0.8782780170440674,A man and a woman kiss.
0.4,0.6621303558349609,0.7664193511009216,1,0.8424100875854492,A computer operating on a desk.
0.4,0.6621303558349609,0.7664193511009216,2,0.8422032594680786,A computer on a desk.
0.4,0.6621303558349609,0.7664193511009216,3,0.8421137928962708,Some men are playing soccer.
0.4,0.6621303558349609,0.7664193511009216,4,0.841995894908905,The bomb exploded in the desert.
0.4,0.6621303558349609,0.7664193511009216,5,0.8419216871261597,a computer on the floor.
0.5,0.6670078039169312,0.761164665222168,1,0.8252202868461609,Train in a station.
0.5,0.6670078039169312,0.761164665222168,2,0.8250414133071899,Trains inside an indoor station.
0.5,0.6670078039169312,0.761164665222168,3,0.8248160481452942,A television with a show on.
0.5,0.6670078039169312,0.761164665222168,4,0.8244273662567139,Dogs in a race.
0.5,0.6670078039169312,0.761164665222168,5,0.8242923021316528,sheep standing in afield.
0.6,0.6733139753341675,0.7688410878181458,1,0.838829517364502,Some kids play in a field.
0.6,0.6733139753341675,0.7688410878181458,2,0.838468611240387,A white train pulling into a station.
0.6,0.6733139753341675,0.7688410878181458,3,0.8380584716796875,a dog runs across the grass.
0.6,0.6733139753341675,0.7688410878181458,4,0.8380487561225891,The white dog runs across the snow.
0.6,0.6733139753341675,0.7688410878181458,5,0.8380295634269714,The monkey swung from branch to branch.
0.7,0.6564497947692871,0.7370342016220093,1,0.8212507963180542,The cow is grazing in a field.
0.7,0.6564497947692871,0.7370342016220093,2,0.8208686113357544,The white train is sitting on the tracks.
0.7,0.6564497947692871,0.7370342016220093,3,0.8208620548248291,The blue train is at the station.
0.7,0.6564497947692871,0.7370342016220093,4,0.8208141326904297,The chef poured oil in the pan.
0.7,0.6564497947692871,0.7370342016220093,5,0.8207796216011047,The bomb exploded in the desert.
0.8,0.6897583603858948,0.7903661727905273,1,0.8534992933273315,Woman is adding sugar to meat.
0.8,0.6897583603858948,0.7903661727905273,2,0.8534678816795349,Butter is melting in a pan.
0.8,0.6897583603858948,0.7903661727905273,3,0.8533294200897217,Foxes are eating from a plate.
0.8,0.6897583603858948,0.7903661727905273,4,0.8531543612480164,Someone is peeling a potato.
0.8,0.6897583603858948,0.7903661727905273,5,0.8531386256217957,Messy computer desk with two monitors.
0.9,0.6621018648147583,0.7542367577552795,1,0.8090591430664062,A young woman is playing the flute.
0.9,0.6621018648147583,0.7542367577552795,2,0.8090353608131409,A young girl running on the beach.
0.9,0.6621018648147583,0.7542367577552795,3,0.8089188933372498,A young girl swinging off a tire swing
0.9,0.6621018648147583,0.7542367577552795,4,0.8088927268981934,A woman is swimming in the beach.
0.9,0.6621018648147583,0.7542367577552795,5,0.8087191581726074,Some men are playing soccer.
1.0,0.67842036485672,0.7676781415939331,1,0.8446062803268433,A young boy sings and plays a guitar.
1.0,0.67842036485672,0.7676781415939331,2,0.8445788621902466,The girl applied face makeup to a man.
1.0,0.67842036485672,0.7676781415939331,3,0.8444017767906189,A boy is singing and playing the piano.
1.0,0.67842036485672,0.7676781415939331,4,0.8444014191627502,A white and brown dog runs in a field.
1.0,0.67842036485672,0.7676781415939331,5,0.8442668318748474,The white and brown dog runs across the grass.
